question,intent label
How do I know whether I need to sign for my Amazon order on delivery?,check_shipping_policies
Do I have to contact support to download or print an invoice for an order?,view_invoice
Need help with real or fake Amazon survey.,identify_phishing_scams
Please advise how I can handle a wrong address and an undeliverable package.,resolve_undeliverable_package
What is the correct process for fax documents to Amazon?,contact_support
Amazon Currency Converter Amazon support?,convert_currency
"Can this be done from the app, or do I need the website to understand deliveries to third-party shipping companies or freight forwarders?",check_shipping_policies
How to handle deceased family member account?,request_bereavement_support
Please tell me how to find the phone number or chat link for support.,contact_support
Where do I go to know who pays for return shipping on international orders?,check_international_returns
Do I have to contact support to turn on push notifications for shipment tracking?,manage_delivery_alerts
What are the steps to submit legal POA docs to support?,submit_legal_poa
Can someone explain how to close the Amazon account of a deceased family member?,request_bereavement_support
What is the correct process for international return window?,check_international_returns
Please tell me how to understand deliveries to third-party shipping companies or freight forwarders.,check_shipping_policies
Is approve teen order possible from my account settings?,manage_teen_account
Can someone explain how to know why my payment was declined on Amazon?,resolve_declined_payment
Where is the option to set a default delivery address for checkout?,modify_address
Can someone explain how to cancel my order before it ships?,modify_order
"Can this be done from the app, or do I need the website to remove a teen login from my household?",manage_teen_account
Personalized products refundable steps?,check_return_eligibility
Could you please provide instructions to find who delivers my package and how to contact the carrier?,report_missing_package
Is support ticket possible from my account settings?,contact_support
Where do I go to know what to do after my delivery date has passed?,check_delivery_delay
What are the steps to understand what a teen login is and how it works?,manage_teen_account
Is international returns possible from my account settings?,check_international_returns
What is the correct process for text tracking notifications?,manage_delivery_alerts
Is register POA possible from my account settings?,submit_legal_poa
"I'm trying to edit the details of an order I just placed, but I don't see the option.",modify_order
Could you please provide instructions to understand how Amazon calculates state-specific sales tax?,check_tax_rates
Where is the option to know why my payment was declined on Amazon?,resolve_declined_payment
Teen order approvals help?,manage_teen_account
Empty shipping box Amazon support?,report_missing_item
Do I have to contact support to retry my payment on an existing order?,resolve_declined_payment
Fax documents to Amazon steps?,contact_support
"I'm trying to find who delivers my package and how to contact the carrier, but I don't see the option.",report_missing_package
I want to see my list of archived orders; how do I do it?,manage_account_settings
What should I click to stop receiving shipment updates via SMS for this order?,manage_delivery_alerts
Where is the option to recover my account if my phone is lost?,reset_password
What are the steps to find the official billing receipt for tax purposes?,view_invoice
I already checked my account but still can't change my language preference to Spanish.,manage_account_settings
Can someone explain how to cancel an order that has already shipped?,modify_order
I want to edit the details of an order I just placed; how do I do it?,modify_order
Could you guide me on how to check my return tracking status?,track_refund
I would like assistance with AMZ Prime descriptor charge.,investigate_unknown_charge
I already checked my account but still can't understand how international returns work on Amazon.,check_international_returns
Do I have to contact support to set a default delivery address for checkout?,modify_address
Subscribe and Save email notifications help?,manage_notifications
"This is urgent, I need to download or print an invoice for an order.",view_invoice
Is there a way to know whether Apple products are covered under the normal 30-day return policy?,check_return_eligibility
Need help with default payment settings.,manage_wallet_cards
Do I have to contact support to submit legal POA docs to support?,submit_legal_poa
Where do I go to download or print an invoice for an order?,view_invoice
I'm stuck with estate support.,request_bereavement_support
Where can I find deceased family member account?,request_bereavement_support
"I'm trying to find my refund details in Amazon, but I don't see the option.",track_refund
Please tell me how to add a new shipping address to my address book.,modify_address
I'm stuck with failed transaction checkout.,resolve_declined_payment
Opt out deals email help?,manage_notifications
Is return after 30 days possible from my account settings?,check_return_eligibility
Please advise how I can know whether Amazon can reduce my refund if the product is damaged.,check_restocking_fees
Where can I find add shipping address?,modify_address
What should I click to check the return policy for Amazon Pharmacy or Luxury items?,check_return_eligibility
I have a question about empty shipping box.,report_missing_item
Can you help me update default payment settings on my account?,manage_wallet_cards
Could you guide me on how to sign up for shipment updates via text message?,manage_delivery_alerts
Could you please provide instructions to understand why my package is being returned to sender?,resolve_undeliverable_package
My address was wrong and package is undeliverable. What now?,resolve_undeliverable_package
Please tell me how to know whether Amazon sends customer satisfaction surveys.,submit_feedback
Do I have to contact support to select my card currency for checkout?,convert_currency
Could you guide me on how to understand how Amazon calculates state-specific sales tax?,check_tax_rates
"Can this be done from the app, or do I need the website to protect myself from payment scams on Amazon?",report_payment_scam
I already checked my account but still can't know whether Amazon sends customer satisfaction surveys.,submit_feedback
International return window steps?,check_international_returns
Could you guide me on how to understand the EZ WAY app for Taiwan customs?,check_customs_regulations
Do I have to contact support to clear my Amazon shipment in Argentina using CUIL?,check_customs_regulations
How long does a refund take to show on my credit card?,track_refund
How to handle add credit card wallet?,manage_wallet_cards
Billing receipt tax Amazon support?,view_invoice
Can you show me the page for default payment settings?,manage_wallet_cards
What are the steps to reach a live support agent on Amazon?,contact_support
How do I see my delivery driver's real-time location on a map?,track_package
I want to fix sign-in problems with my account; how do I do it?,reset_password
