question,intent label
I need to identify suspicious activity,payment_issues_fraud_scams
I'm trying to pay my return shipping cost,refund_international_returns
I need assistance to set default my delivery address,modify_address
I need to edit vat rates,other_query
Can I clear customs returns on Amazon?,refund_international_returns
Is it possible to archive this account settings?,manage_account_general_settings
I want to manage my customer support bereavement query,customer_support_bereavement
How do I fix the payment retry?,payment_issues_declines_retries
Can you help me update my details regarding customer support legal?,customer_support_legal
Can you help me check my refund tracking status query?,refund_tracking_status
Please show me how to complete translation feedback,customer_feedback
Can I change Spanish language on Amazon?,manage_account_general_settings
Is it possible to request this invoice pdf?,billing
Is it possible to delete this teen login?,manage_account_teen_settings
Is it possible to modify this delivery speed?,modify_order
Is it possible to resolve this declined payment?,payment_issues_declines_retries
I need to manage details regarding delivery status undeliverable,delivery_status_undeliverable
What is the way to change the delivery speed?,modify_order
I need assistance to update my subscription email preferences,other_query
I need assistance to manage my customer support contact query,customer_support_contact
I need assistance to manage my details regarding delivery status undeliverable,delivery_status_undeliverable
I need to apply credit balance,refund_credits_balances
How do I manage the data access apps?,manage_account_general_settings
Where to select card currency at checkout?,payment_issues_currency_converter
I need to manage customer support contact query,customer_support_contact
How do I cancel the order history?,modify_order
How do I manage the vat rates?,other_query
What is the way to apply the rewards points?,refund_credits_balances
Please show me how to manage gift card balance,manage_account_general_settings
Can you help me return my return policy?,refund_returns_eligibility
Can I troubleshoot checkout retry on Amazon?,payment_issues_declines_retries
What is the way to delete the phone number account?,manage_account_profiles_devices
Can I start return eligibility on Amazon?,refund_returns_eligibility
I need to remove household teen,manage_account_teen_settings
I'm trying to manage my manage account closure query,manage_account_closure
I'm trying to unsubscribe from my subscription email preferences,other_query
What is the way to check the details regarding delivery status undeliverable?,delivery_status_undeliverable
Is it possible to use this translation feedback?,customer_feedback
I'm trying to return my opened items,refund_returns_eligibility
I want to return my international label,refund_international_returns
Can I approve teen account settings on Amazon?,manage_account_teen_settings
What is the way to update the details regarding customer support contact?,customer_support_contact
Is it possible to change this details regarding customer support contact?,customer_support_contact
I need assistance to remove my debit card,payment_issues_cards_wallet
Is it possible to reduce this restocking fee?,refund_restocking_fees
