chunk_id,chunk_title,source_file,chunk,intent_label
missing_package_delivered_002,1 - Confirm shipping address in Your Orders,Find a Missing Package that Shows a(2).md,"Verify if your shipping address in Your Orders is correct. For more information on how to handle a wrong shipping address, go to Add and Manage Addresses.",hotel_delivery
missing_package_delivered_003,2 - Search for a notice of delivery attempt,Find a Missing Package that Shows a(2).md,"* Check the Message Center.
* Search for a delivery confirmation in Your Orders.
* Check your mailbox or wherever else you receive mail.
* Search for a delivery photo.",hotel_delivery
missing_package_delivered_004,3 - Check around the delivery location,Find a Missing Package that Shows a(2).md,Check your delivery instructions in Your Addresses. The package could have been left where you requested.,hotel_delivery
missing_package_delivered_005,4 - Ask your household members and neighbors,Find a Missing Package that Shows a(2).md,Check if someone else accepted the delivery.,hotel_delivery
missing_package_delivered_006,5 - Wait 48 hours for the package to be delivered,Find a Missing Package that Shows a(2).md,Packages may be scanned as delivered before arrival.,third_party_company_delivery
missing_package_delivered_007,6 - You can check with the carrier,Find a Missing Package that Shows a(2).md,"The carrier may have more information about the location of the package. To track your package on the carrier website or contact them, go to Carrier Contact Information.",shipment_text_updates_terms
hotel_delivery_001,About Hotel Deliveries,About Hotel Deliveries(2).md,"Shipping items to a hotel may result in complications not covered by Amazon.
If you choose to ship an item to a hotel, the following policy applies:
Provide complete address details, check delivery times and communicate with the hotel.",missing_item_from_order
third_party_company_delivery_001,About Items Shipped to Companies Not Affiliated with Amazon,About Items Shipped to Companies No(2).md,"Shipping items to a third-party company that isn’t affiliated with Amazon may result in complications not covered by Amazon.
Third-party companies that are not affiliated with Amazon include freight forwards, Buyer’s Clubs, third-party warehouses, and re-sellers. Amazon isn't responsible for any loss that occurs to items after the items are delivered to a third-party business and cannot issue refunds or replace these items.
For more information about freight forwarding, go to About Freight Forwarders and Hand Carry. For all other third-party companies:
* If an item arrives from Amazon with damaged packaging, please instruct the third-party company to refuse delivery. We'll issue a refund when the item is returned to Amazon.
* If an item arrives defective or damaged inside the packaging, go to Your Orders to view return options.
* If you received your package, but the item was missing from the box, go to Find a Missing Item from Your Order.
* If you have a missing package that shows as delivered, check with your third-party company. Follow the steps in Find a Missing Package that Shows as Delivered.
Amazon will not engage with a third-party company that did not make a purchase directly from Amazon.
Contact Amazon Customer Service if:
* The carrier delivered the item to the wrong address.
* You ordered a non-returnable item that was shipped in multiple boxes, and you only received a partial shipment.",missing_item_from_order
hotel_delivery_003,After ordering,About Hotel Deliveries(2).md,"* Inform the hotel. Let the front desk know that you’re expecting a package.
* Track your package. You can find tracking numbers and delivery updates in Your Orders. Visit the Tracking Your Package Help page for more details.
Amazon cannot issue refunds or replacements for packages that are delivered to a hotel but not received by the customer.
A delivery is considered successful once the package receives a delivery scan at the hotel’s front desk, concierge desk, or designated receiving area. This means Amazon will not provide a replacement or refund for any packages marked as delivered to these hotel locations but later reported missing by the guest.
For all other hotel deliveries where the package is successfully received by the customer, our standard return and refund policies still apply.",missing_item_from_order
shipment_text_updates_terms_001,Amazon Shipment Updates via Text Updates Terms and Conditions,Amazon Shipment Updates via Text Up(2).md,"Amazon.com uses the short code 262966 to share shipment tracking updates.
If you agree to receive tracking updates through Amazon Shipment Updates via Text, you'll receive text messages when your package encounters an exception or delay. Confirm your subscription by replying YES to the subscription confirmation message that Amazon sends you upon signing up for the service.
Message and data rates may apply. Message frequency based on account orders. Text HELP to 262966 for Help. Text STOP to 262966 to cancel. For assistance, contact us.
Our participating carriers include (but aren't limited to): AT&T, SprintPCS, Metro PCS, T-Mobile®, U.S. Cellular®, Verizon Wireless.",missing_item_from_order
