question,chunk id,intent label,doc title,chunk title,answer
Where do I find my refund details in Amazon?,amz_track_004,refund_status_lookup,Tracking Returns and Refund Status,Your Returns Navigation,"To track a pending refund, check the Your Returns section or the status link in your confirmation emails. Once the refund is issued, the details will appear in Your Transactions and in a refund summary email."
I received an empty package from Amazon. What should I do?,missing_item_from_order_006,missing_item_from_order,Find a Missing Item from Your Order,You received an empty package,"If the order was shipped by Amazon, contact Customer Service within 30 days of expected delivery."
My Amazon box arrived empty. What should I do?,missing_item_from_order_006,missing_item_from_order,Find a Missing Item from Your Order,You received an empty package,Contact Customer Service within 30 days if the order was shipped by Amazon.
My package arrived empty. What should I do?,missing_item_from_order_006,missing_item_from_order,Find a Missing Item from Your Order,You received an empty package,Contact Customer Service within 30 days if the order was shipped by Amazon.
My Amazon parcel was sealed but the item was missing.,missing_item_from_order_006,missing_item_from_order,Find a Missing Item from Your Order,You received an empty package,Contact Customer Service within 30 days if the item was shipped by Amazon.
amazon sent empty package what should i do,missing_item_from_order_006,missing_item_from_order,Find a Missing Item from Your Order,You received an empty package,Contact Customer Service within 30 days if the order was shipped by Amazon.
empty amazon packet received what now,missing_item_from_order_006,missing_item_from_order,Find a Missing Item from Your Order,You received an empty package,Contact Customer Service within 30 days if the order was shipped by Amazon.
Why does Amazon ask me to wait 48 hours for a late delivery?,late_delivery_005,late_delivery,Late Deliveries,Why wait for 48 hours,"Most deliveries arrive within 48 hours. If there is no email or notification about the delay, wait because the package may be nearly delivered."
Should I contact Amazon immediately if my package is late?,late_delivery_005,late_delivery,Late Deliveries,Why wait for 48 hours,Amazon usually asks you to wait 48 hours because most delayed packages arrive within that time.
My estimated delivery date passed. Should I wait?,late_delivery_005,late_delivery,Late Deliveries,Why wait for 48 hours,Yes. Wait up to 48 hours because many delayed packages arrive within that time.
Does Amazon consider a delivery late immediately after the date passes?,late_delivery_005,late_delivery,Late Deliveries,Why wait for 48 hours,Amazon usually advises waiting 48 hours because late packages often arrive soon after.
delivery date passed and still nothing came,late_delivery_005,late_delivery,Late Deliveries,Why wait for 48 hours,Wait up to 48 hours after the estimated delivery date because delayed packages often arrive soon after.
order still not here after expected date,late_delivery_005,late_delivery,Late Deliveries,Why wait for 48 hours,Wait up to 48 hours because delayed packages often arrive soon after.
Why do Amazon deliveries get delayed?,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,"Common reasons include bad weather, heavy traffic, high holiday demand, customs delays for international packages, and operational problems such as vehicle breakdowns."
Why is my Amazon delivery taking longer than expected?,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,"Delays can happen because of weather, traffic, high order volume, customs, or incorrect address information."
Why has my Amazon package not arrived yet?,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,"Deliveries may be delayed by weather, traffic, carrier issues, high volume, or address problems."
Can bad weather delay my Amazon delivery?,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,Yes. Weather can delay packages during transit.
Can traffic cause my package to arrive late?,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,Yes. Traffic and carrier delays can affect delivery timing.
Can wrong address details delay delivery?,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,Yes. Incorrect or incomplete address information can delay delivery.
why is my package taking so longg,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,"Deliveries may be delayed by weather, traffic, carrier issues, high volume, or address problems."
why amazon delivery delayed again,late_delivery_003,late_delivery,Late Deliveries,Why some deliveries are delayed,"Delays may happen due to weather, traffic, carrier issues, high volume, or address problems."
Why was my package marked undeliverable?,undeliverable_package_001,undeliverable_package,Undeliverable Packages,Undeliverable Packages,"It may happen due to address issues, failed delivery attempts, damage, or carrier problems."
My address was wrong and package is undeliverable. What now?,undeliverable_package_003,undeliverable_package,Undeliverable Packages,Refund Times for Undeliverable Packages,The package may be returned and refunded. Place a new order with the correct address.
What do I do if I still cannot find my delivered package after all checks?,missing_package_delivered_008,missing_package_delivered,Find a Missing Package that Shows as Delivered,What to do next?,"If it was shipped and sold by a third-party seller, contact the seller. If it was shipped by Amazon, contact Customer Service within 30 days of expected delivery."
Who do I contact if my delivered package is still missing?,missing_package_delivered_008,missing_package_delivered,Find a Missing Package that Shows as Delivered,What to do next?,"Contact the seller if it was sold by a third-party seller, or contact Amazon Customer Service if it was sold by Amazon."
What if my delivered package is still missing after 48 hours?,missing_package_delivered_008,missing_package_delivered,Find a Missing Package that Shows as Delivered,What to do next?,Contact Amazon Customer Service or the third-party seller depending on who sold the item.
Who do I contact for a missing third-party seller package?,missing_package_delivered_008,missing_package_delivered,Find a Missing Package that Shows as Delivered,What to do next?,Contact the third-party seller for help with the missing delivered package.
Who do I contact if Amazon sold the missing package?,missing_package_delivered_008,missing_package_delivered,Find a Missing Package that Shows as Delivered,What to do next?,Contact Amazon Customer Service if the package was sold by Amazon.
should i contact amazon if delivered item never came,missing_package_delivered_008,missing_package_delivered,Find a Missing Package that Shows as Delivered,What to do next?,"If it is still missing after 48 hours, contact Amazon Customer Service or the seller."
My Amazon delivery is late. What should I do?,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,"Track the package for status updates, check your email for carrier notifications, and allow 48 hours past the estimated delivery date for unexpected delays."
My delivery date has passed. What should I do now?,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,"Track the package, check your email for updates, and wait for any carrier notification."
My order is late. What should I do?,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Check tracking updates and wait up to 48 hours after the estimated delivery date.
What should I do before contacting support for a late order?,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,"Check tracking, email updates, and wait up to 48 hours after the estimated delivery date."
My package is delayed but tracking still updates. What should I do?,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Continue checking tracking updates and wait up to 48 hours after the estimated date.
My order is late and I need it urgently. What can I check?,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Check the latest tracking status and any email updates from Amazon.
My package is late but not marked delivered.,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Check tracking and wait up to 48 hours after the estimated delivery date.
my order is late what should i do now,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Check tracking updates and wait up to 48 hours after the estimated delivery date.
my order is late but tracking is still moving,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Continue checking tracking updates and wait up to 48 hours after the estimated delivery date.
my delivery is late by one day,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Check tracking and wait up to 48 hours after the estimated delivery date.
tracking says delayed what next,late_delivery_002,late_delivery,Late Deliveries,What to do if your delivery is late,Check tracking updates and wait up to 48 hours after the estimated date.
What happens if my package is marked undeliverable?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,"Amazon notifies you, the package is returned to Amazon, and Amazon processes a refund. Undeliverable packages cannot be reshipped, so you can place a new order."
What happens after Amazon marks a package undeliverable?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,Amazon returns the package and processes a refund after the return is received.
What does undeliverable package mean?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,It means the package could not be delivered and may be returned to Amazon.
What happens after my package is undeliverable?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,Amazon usually returns the package and processes a refund after receiving the return.
Will Amazon refund an undeliverable package?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,"Yes, a refund is usually processed after the package is returned."
Can Amazon resend an undeliverable package?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,"Usually, undeliverable packages are returned and refunded rather than resent."
My package was returned as undeliverable. Do I need to contact Amazon?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,Amazon usually processes a refund after receiving the returned package.
How do I fix an undeliverable package issue?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,Wait for the refund and place a new order with corrected delivery details.
My package could not be delivered. Will it come again?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,"If marked undeliverable, it is usually returned and refunded rather than redelivered."
Do I need to cancel an undeliverable package?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,No. Amazon usually handles the return and refund automatically.
Can I change the address after a package is undeliverable?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,Usually no. Place a new order with the correct address after the refund.
My hotel delivery failed. What will happen?,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,"If the package becomes undeliverable, it may be returned and refunded."
package says undeliverable what does that mean,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,It means the package could not be delivered and may be returned to Amazon for a refund.
order says undeliverable will i get refund,undeliverable_package_002,undeliverable_package,Undeliverable Packages,What Happens with Undelivered Packages,Undeliverable packages are usually returned and refunded after Amazon receives them.
Can I return an Amazon order from Canada using UPS?,amz_int_001,international_return_shipping,International and Special Item Returns,UPS Drop-Off Returns,Yes. Customers shipping from Amazon.com to Canada may use prepaid UPS drop-off labels for eligible returns.
What does the delivery status 'Out for delivery' mean?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,It means your package is scheduled to be delivered today.
What does 'Undeliverable' mean in my order status?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,"It means the package could not be delivered and will be returned to Amazon. Once Amazon receives it, a refund is automatically issued."
What does it mean if my package status says shipped?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,It means the package has left the fulfillment location and is on its way through the delivery process.
What does it mean if my Amazon order is out for delivery today?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,It means the package is expected to be delivered by the end of the day.
How can I check if my order has shipped?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,Check Your Orders and open Track package to see whether the order has shipped.
What does “shipped” mean on my Amazon order?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,It means the package has left the fulfillment location and is moving through the delivery process.
What does “out for delivery” mean?,track_package_003,track_package,Tracking your package,Understanding delivery statuses,It means the package is expected to be delivered by the end of the day.
my order says shipped what does that mean exactly,track_package_003,track_package,Tracking your package,Understanding delivery statuses,It means the package has left the fulfillment location and is moving through delivery.
it says out for delivery but no time is showing,track_package_003,track_package,Tracking your package,Understanding delivery statuses,Out for delivery means the package is expected to arrive by the end of the day.
my order has no exact time but says arriving today,track_package_003,track_package,Tracking your package,Understanding delivery statuses,Check Track package for the latest delivery status and updates.
How can I see where my return is right now?,amz_track_001,return_tracking_help,Tracking Returns and Refund Status,Tracking a Return,Option 1: Open your return confirmation email → select Return/Refund Status. Option 2: Use the carrier tracking number on the carrier website. Option 3: Go to Your Returns in your Amazon account.
Can I track a package from a third-party seller on Amazon?,track_package_002,track_package,Tracking your package,Track packages from third-party sellers,You can track it only if the third-party seller shares tracking information with Amazon and you chose a trackable shipping option.
Can I track my seller-shipped Amazon package?,track_package_002,track_package,Tracking your package,Track packages from third-party sellers,You can track it if the third-party seller provides tracking information to Amazon.
